animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,1,1,3
chameleon,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
iguana,0,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
gecko,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
python,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
boa,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,3
adder,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
gharial,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
skink,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,3
anchovy,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4
flounder,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
halibut,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
mackerel,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
barracuda,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
marlin,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
trout,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
salamander,0,0,1,0,0,1,0,1,1,1,0,0,4,1,1,0,5
siren,0,0,1,0,0,1,0,1,1,1,0,0,2,1,0,0,5
tree frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
dart frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
firebelly,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
wart toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
hornet,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,6
cricket,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
beetle,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
butterfly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
palmetto,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
cockroach,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
mantis,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,6
dragonfly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
aphid,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
cicada,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
antlion,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
scallop,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
spider,0,0,1,0,0,0,1,1,0,1,1,0,8,0,0,0,7
snail,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
silkworm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
jellyfish,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,7
squid,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7
